"Online payment Autopay","Płatności online Autopay"
"Online payment Autopay (PLN)","Płatności online Autopay (PLN)"
"Online payment Autopay (EUR)","Płatności online Autopay (EUR)"
"Online payment Autopay (GBP)","Płatności online Autopay (GBP)"
"Online payment Autopay (USD)","Płatności online Autopay (USD)"
"Online payment Autopay (CZK)","Płatności online Autopay (CZK)"
"You will be redirected to the Autopay secure service payment after submitting the order.","Po złożeniu zamówienia zostaniesz przekierowany do bezpiecznego serwisu płatności Autopay."
"Test mode","Tryb testowy"
"Service partner ID","Identyfikator serwisu partnera"
"Shared key","Klucz współdzielony"
"Status waiting payment", "Status oczekiwania na płatność"
"Status accept payment", "Status prawidłowej płatności"
"Status error payment", "Status nieprawidłowej płatności"
"Make invoice", "Generuj fakturę po potwierdzeniu płatności"
"Automatic payments", "Płatności automatyczne (PBC)"
"Card number", "Numer karty"
"Expiration date", "Data ważności"
"Cart type", "Rodzaj katy"
"DELETE", "USUŃ"
"Saved credit cards", "Zapisane karty"
"Saved Credit Cards", "Zapisane Karty"
"No saved cards", "Brak zapisanych kart"
"Show Gateway Logo", "Pokaż logo kanałów płatności"
"Gateway Selection", "Wybór kanałów płatności"
"Enabled", "Aktywny"
"Iframe Payment", "Płatność w Iframe"
"Select payment method:","Wybierz sposób płatności:"
"Unchangable statuses","Niezmienialne statusy"
"Add jQuery to order process","Dodaj jQuery do procesu zamówienia"
"In most stores, the option should be disabled.","W wiekszość sklepów opcja powinna być wyłączona."
"cURL Payment","Przedtransakcja"
"Generating short link to payment.","Generowanie krótkiego linku do płatności w banku."
"Payment in iFrame without leaving store site. Applies to card and automatic payment.","Płatność w iFrame bez opuszczenie strony sklepu. Dotyczy płatności kartą oraz płatności automatycznych."
"Contact Autopay before enabling this option. It requires enabled Gateway Selection.","Przed uruchomieniem tej opcji skontaktuj się z Autopay. Wymagane włączenie opcji Wybór kanałów płatności w sklepie"
"Payment description","Opis płatności"
"Visible in order process after selecting Autopay payment.","Treść widoczna w procesie zamawiania po wybraniu płatności Autopay."
"Store ID, eg. 12345","Identyfikator sklepu, np. 12345"
"Alphanumeric code","Kod alfanumeryczny"
"Select card or add new:","Wybierz kartę lub dodaj nową:"
"Add new card","Dodaj nową kartę"
"Card","Karta"
"Thank you for placing the order","Dziękujemy za złożenie zamówienia"
"You'll get the e-mail with order confirmation, details of your order and a link to track its progess.","Otrzymasz e-mail z potwierdzeniem zamówienia wraz ze szczegółami dotyczącymi Twojego zamówienia i linkiem do śledzenia jego postępów."
"Continue shopping","Kontynuuj zakupy"
"Automatic payment Autopay","Płatność automatyczna Autopay"
"Gateway Status","Status kanału"
"Gateway ID","ID kanału"
"Bank Name","Nazwa banku"
"Gateway Name","Nazwa"
"Gateway Type","Typ"
"Gateway Description","Opis"
"Is separated method?","Traktuj jako osobną metodę płatności"
"Gateway Logo URL","URL do logo"
"Use Own Logo","Użyj własnego logo"
"Gateway Logo Path","Ścieżka do logo"
"Status Date","Data ostatniej aktualizacji"
"YES","TAK"
"NO","NIE"
"ENABLED","Aktywny"
"DISABLED","Nieaktywny"
"Own Name","Własna nazwa"
